"LUDF Farm Monitoring and Farm Walk Notes (Wednesday's, 9 am) - 2021/2022 Season",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farm Area,,Date,21-Jul,28-Jul,4-Aug,11-Aug,18-Aug,25-Aug,1-Sep,8-Sep,15-Sep,22-Sep,29-Sep,6-Oct,13-Oct,20-Oct,27-Oct,3-Nov,10-Nov,17-Nov,24-Nov,1-Dec,8-Dec,15-Dec,22-Dec,29-Dec,5-Jan,10-Jan,17-Jan,24-Jan,31-Jan,7-Feb,14-Feb,21-Feb,28-Feb,7-Mar,14-Mar,21-Mar,28-Mar,4-Apr,11-Apr,18-Apr,25-Apr,2-May,9-May,16-May,23-May,30-May
,Grazing ha available to milkers,Ha,160,,160,160,160,160,160,160,160,160,160,160,160,151.78,151.78,151.78,151.78,151.78,151.78,151.78,151.72,151.72,151.72,151.72,151.72,151.72,151.72,152.67,152.67,152.67,152.67,152.67,152.67,152.67,152.67,150,150,150,157.5,157.5,157.5,157.5,157.5,157.5,157.8,160
,Re-grassing,Ha,0,,0,0,0,0,0,0,0,0,0,0,0,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.33,8.33,8.33,8.33,8.33,8.33,8.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,9.33,9.33,9.33,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock Numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cows currently milking to vat,,0,,185,278,370,435,470,502,525,545,552,557,555,555,552,553,552,550,552,554,550,551,551,550,541,545,547,548,550,547,546,535,537,537,533,535,533,533,529,529,499,460,457,456,440,406
,Cows currently milking NOT to vat,,39,,59,75,48,22,13,15,15,4,6,3,4,3,5,3,4,6,4,1,3,3,3,4,12,7,5,4,2,5,6,5,2,2,5,3,4,4,4,1,0,0,1,1,2,3
,Total Cows Milk ,,39,,244,353,418,457,483,517,540,549,558,557,559,558,557,556,556,556,556,555,554,554,554,554,553,552,552,552,552,552,552,540,539,539,538,538,537,537,533,530,499,460,457,456,442,409
,Once-a-day milking cows,,,,0,0,0,0,0,0,0,0,0,0,2,9,13,8,11,6,3,2,10,16,20,19,17,19,18,15,17,19,16,23,15,15,10,8,11,11,15,13,9,7,3,7,5,0
,Lame cows current,,,,0,2,5,2,5,2,6,5,2,2,2,9,13,8,11,6,1,1,10,14,20,19,17,19,18,15,17,19,16,23,15,15,10,8,11,11,15,13,9,7,3,7,5,0
,Dry cows on farm,,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,6,9,9,9,12,11,13,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Current bulk milk SCC (tgt below 150),SCC,0,,281,109,116,107,100,95,117,106,109,99,94,81,109,110,129,128,119,120,136,142,140,147,163,102,147,155,181,188,183,200,182,197,170,176,152,183,188,174,183,178,169,166,189,175
,Per cow Production,kgMS/cow,0,,,1.67,1.73,1.76,1.78,1.82,1.91,1.9,2.02,1.97,2.03,2.06,2,1.98,2,1.94,1.9,1.83,1.81,1.75,1.74,1.69,1.76,1.69,1.71,1.75,1.63,1.72,1.67,1.72,1.71,1.76,1.58,1.67,1.48,1.44,1.43,1.32,1.4,1.28,1.35,1.2,1.12,0.92
,Protein:Fat ratio,%,0,,0.77,0.76,0.75,0.79,0.81,0.76,0.76,0.79,0.8,0.8,0.76,0.76,0.8,0.81,0.83,0.84,0.82,0.84,0.82,0.81,0.83,0.84,0.84,0.80,0.83,0.82,0.82,0.85,0.80,0.78,0.83,0.84,0.82,0.79,0.76,0.79,0.77,0.80,0.80,0.80,0.81,0.78,0.78,0.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed Budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average pasture cover ,kgDM/HA,2524,,2686,,,2436,2370,2310,2353,2318,2190,2166,2201,2251,2309,2335,2304,2337,2259,2316,2240,2325,2328,2078,2276,2210,2212,2201,2344,2268,2359,2375,,2315,2379,,2463,2523,,2461,,2378,2301,2082,,1787
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Current Pasture Fed - Milkers,kgDM/cow,0,,,16.5,17,17.4,14.1,14.04,15.26,12.64,18.7,18.4,15.09,18.8,18.4,18.3,18.4,18,17.8,18.7,18.7,18.7,18.7,17.2,8.42,11.54,12.96,17.2,16.8,17.4,12.08,12.15,10.2,14.76,12.06,10.52,9.42,11.65,10.52,11.32,10.71,11.31,10,14.86,17.2,17.2
plus,Current Silage Fed - Milkers,kgDM/cow,0,0,0,0,0,0,3.4,3.66,3.04,5.56,0,0,3.51,0,0,0,0,0,0,0,0,0,0,0,9.28,5.66,4.06,0,0,0,5.02,5.25,7.2,2.64,4.44,6.68,7.78,5.55,6.68,5.88,6.49,5.89,7.2,2.34,0,0
equals,Current Demand per cow,kgDM/cow,0,,0,16.5,17,17.4,17.5,17.7,18.3,18.2,18.7,19.6,19.6,19.6,19.6,19.6,19.6,19.6,17.8,18.7,18.7,18.7,18.7,17.2,17.7,17.2,17.2,17.2,16.8,17.4,17.1,17.4,17.4,17.4,16.5,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2,17.2
X,Stocking Rate - Milkers,Cows/HA,0.2,,,2.2,2.6,2.8,3,3.2,3.37,3.43,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.55,3.53,3.53,3.53,3.59,3.59,3.59,3.42,3.42,3.17,2.87,2.87,2.87,2.85,2.71
=,Current Pasture Demand - Milkers,kgDM/HA,0,,,36,44,49,,52,,62.4,65.45,68,68,68,72,72,72,72,68,69,69,69,69,59,59,59,59,59,61,61,61,57,57,57,50,,62,62,,,,,,,,
Where,Pasture Growth (pasture coach),kgDM/HA,0,,10,,,19,33,37,51,48,58,63,66,78,87,82,78,79,83,85,81,81,82,54,76,68,71,66,79,70,63,60,,50,60,,57,60,,53,,44,41,28,,20
,Pre-grazing cover (ave for week),kgDM/HA,0,,3400,3200,3150,3228,3251,3312,3350,2953,3055,3054,2866,2927,2988,3059,3078,3131,3124,3178,3121,3120,3045,3072,2669,2914,2910,2998,2885,3122,3017,3205,3168,3007,3112,3195,3212,3337,3318,3461,3445,3235,3432,3106,2642,2555
,Residual (ave for week),kgDM/HA,0,,1650,1800,1600,1550,1550,1550,1550,1550,1500,1500,1500,1500,1550,1550,1550,1550,1550,1550,1550,1550,1650,1550,1550,1550,1550,1550,1550,1550,1600,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1500
,Current Round Length,Days,0,,,64.2,58.8,42.8,47.6,46.2,37,29,22,24,21,19,21,20,19,23,21,22,21,22,19,18,19,19,21,22,23,20,25,28,29,31,33,33,36,35,36,41,36,35,41,26,29,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farm conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Soil temp average (Aquaflex),degree C,7.29,7.64,8.35,6.8,7.1,7.06,8.4,8.42,8.59,8.2,9.55,10.58,11.56,10.97,12.81,14.4,13.8,15.33,14.83,15.54,16.03,16.32,16.22,17.32,18.11,18.02,17.82,17.9,18.08,17.75,17.02,16.24,16.01,15.55,16.59,14.77,15.79,15.58,14.09,12.68,12.62,11.64,12.46,11.14,10.02,7.15
,Rainfall ,mm,7.8,9.8,24.2,34.4,8.8,3.4,7.2,1,19.4,3,1.8,18.8,24.6,4.8,0.2,6.4,0,8.6,2.4,17,16.8,8.8,77,7.8,2.4,5.4,1.6,21.2,18.8,37.2,60.2,7.6,2.4,2.6,0,8.8,9.4,2,14.6,1.8,3,0.4,0.2,15.8,4.6,5.8
,Irrigation days this week,days,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,1.5,5,4,3,5,1,0,0,0,0,7,5,5,3,0,0,0,0,0,0,4,2,2,2,0,0,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Current Roster,,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2,5+2
,Health & Safety Incidences,,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil
,Milking Routine,,OAD,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7,10 in 7
